open,high,low,close,volume,amount
19.82,19.88,18.16,18.19,3989347,759.31354
18.06,18.64,17.76,18.45,9721087,1777.96947
18.44,18.93,18.39,18.93,4092199,763.55573
18.71,18.72,17.29,17.32,1515700,273.74245
17.87,18.11,17.32,17.91,7582211,1343.04963
17.7,17.83,16.6,16.76,7158654,1231.85286
16.83,17.16,16.73,17.06,3066303,520.87599
17.2,17.24,16.4,16.52,4560636,770.0943
16.14,17.16,16.05,16.96,6512528,1086.21205
16.88,17.05,16,16.09,5361596,888.9405
15.98,16.4,15.75,16.02,5006701,805.13121
16.06,16.6,15.93,16.59,5968989,974.72783
16.48,16.95,16.19,16.63,5050773,839.21716
16.35,16.69,15.8,15.86,4846938,788.45859
16,16.09,15.65,15.95,2885401,458.18071
16.05,16.32,15.92,16.09,2804540,452.70763
15.93,15.97,14.93,15.12,4332890,669.30203
15.36,15.85,14.51,15.56,5943249,898.51139
15.38,15.85,15.32,15.39,3687941,575.59842
15.3,16.03,15.21,15.9,3531792,555.0049
16,16,15.6,15.7,2088367,329.45992
15.7,16.37,15.65,16.18,3101549,499.71336
16.03,16.3,15.93,16.24,2149442,346.49872
16.24,16.48,16.18,16.39,3093009,506.22345
16.43,16.49,15.98,16,2104885,339.97156
15.65,16.09,15.45,15.96,1655083,260.88844
16.08,16.54,15.96,16.42,3637997,595.14339
16.4,16.6,16.32,16.55,2820482,464.05824
16.59,16.76,16.32,16.4,2787607,461.97353
16.81,17.35,16.78,17.04,8165040,1396.83957
17.08,17.27,17.01,17.18,4652338,796.76867
17.16,17.29,16.81,17.02,3662040,623.04101
16.91,17.33,16.83,17.15,3529928,603.05807
17.1,17.17,15.86,16.02,4684451,776.38044
16.2,16.77,16.15,16.65,4257207,698.80036
16.59,16.63,15.55,15.77,5512268,878.39576
15.85,16.05,15.66,15.87,4136576,657.66308
15.94,16.58,15.94,16.57,6128680,996.86623
16.55,16.76,16.47,16.57,4010496,666.14614
16.54,16.58,15.9,16.19,4099322,665.6811
16.2,16.46,16.06,16.37,3177818,518.52722
16.34,16.35,15.77,16.26,2847626,455.87165
16,16.08,15.73,15.79,2743525,436.19431
15.8,15.92,15.57,15.63,1998434,314.7228
15.57,15.8,15.52,15.72,1694269,265.58749
15.87,16.38,15.82,16.2,3497982,565.5641
16.13,16.19,15.88,16.05,1749595,280.96902
16.09,16.25,15.9,15.98,2226708,355.93658
15.97,16.35,15.97,16.35,3845503,623.25462
16.34,16.78,16.3,16.77,5131261,853.3008
16.83,17.23,16.76,17.13,5938639,1013.87363
17.13,17.23,16.99,17.06,3050148,521.6624
17.01,17.14,16.86,17.06,2267322,385.1732
16.98,16.98,16.69,16.7,2773775,467.55378
16.75,16.97,16.7,16.93,2409469,405.0379
17.03,17.25,16.89,16.9,2679597,458.19971
16.91,17.5,16.86,17.15,5363609,922.81027
17.2,18.27,17.2,18.22,11245551,1994.71393
18.21,18.36,17.85,17.96,6824498,1235.39579
17.78,18.31,17.64,18.22,6017903,1083.02044
18.33,18.57,18.14,18.46,5488201,1007.98559
18.46,18.56,18.31,18.51,4409178,813.27523
18.54,18.54,17.9,17.94,4646153,841.98312
17.84,18.04,17.63,17.92,3865367,689.02882
18.04,18.3,17.99,18.17,3098689,562.72122
18.15,18.34,17.83,17.91,2881118,519.89195
18.08,18.57,18.02,18.53,5837817,1074.23474
18.66,18.91,18.33,18.86,4446055,828.53021
18.8,18.93,18.43,18.53,3039468,565.96404
18.5,18.61,18.3,18.4,2918803,537.7858
18.44,18.55,18.27,18.42,2268572,417.06402
18.4,18.53,17.27,17.75,5736193,1019.7198
17.64,17.84,17.48,17.5,2234809,395.25351
17.5,17.61,17.21,17.55,1940329,338.31924
17.57,18.06,17.31,18,3315623,589.01529
18.07,18.25,17.9,18.17,2329959,421.27307
18.18,18.33,17.95,18.11,2100926,382.02703
18.15,18.63,18.1,18.59,4003649,736.2466
18.4,18.93,18.39,18.58,3488996,653.71949
18.64,18.9,18.43,18.9,3311092,620.06779
18.85,18.96,18.44,18.45,4364609,816.93345
18.47,18.64,18.35,18.5,2955441,546.52744
18.51,18.77,17.98,18.01,4280642,781.47945
17.98,18.37,17.73,17.9,5008732,907.44365
17.89,18.11,17.7,17.86,2859455,511.80168
17.91,19.36,17.8,18.98,12069216,2262.2183
18.99,20.88,18.9,20.88,16969074,3418.32992
20.75,21,20.07,20.79,16827498,3438.52912
20.53,20.56,20.02,20.5,9397952,1909.73482
20.5,20.79,19.8,19.87,8435441,1713.28193
19.75,19.75,18.89,19.15,8872813,1713.58997
19.13,19.65,19.1,19.27,7908452,1528.93627
19.08,19.58,18.92,19.53,7333092,1415.10655
19.6,19.95,19.4,19.7,7637958,1502.07838
19.64,19.64,18.9,18.93,7666668,1471.92442
19.08,19.17,18.84,19.03,3910450,744.33141
19.1,19.17,18.42,18.8,4463510,834.10855
18.81,19.46,18.72,19.3,7215220,1389.90678
19.1,19.55,19.02,19.35,4731193,916.3033
19.39,19.89,19.29,19.85,9902877,1947.01814
